user_id,variant,timestamp,baseline_sessions,segment,clicks,impressions,bounce_rate
1,treatment,2025-01-01 00:00:00,6,typical,1,13,0
2,treatment,2025-01-01 00:01:00,6,typical,3,17,0
3,control,2025-01-01 00:02:00,7,power_searchers,1,20,0
4,control,2025-01-01 00:03:00,9,power_searchers,4,20,0
5,treatment,2025-01-01 00:04:00,7,power_searchers,2,21,0
6,treatment,2025-01-01 00:05:00,4,typical,1,16,0
7,control,2025-01-01 00:06:00,6,typical,2,19,0
8,control,2025-01-01 00:07:00,5,typical,1,25,0
9,treatment,2025-01-01 00:08:00,5,typical,3,28,0
10,treatment,2025-01-01 00:09:00,6,typical,0,17,0
11,treatment,2025-01-01 00:10:00,4,typical,3,23,0
12,treatment,2025-01-01 00:11:00,5,typical,1,11,0
13,control,2025-01-01 00:12:00,8,power_searchers,2,13,0
14,control,2025-01-01 00:13:00,6,typical,1,13,0
15,control,2025-01-01 00:14:00,3,light_searchers,4,14,0
16,control,2025-01-01 00:15:00,3,light_searchers,0,23,0
17,treatment,2025-01-01 00:16:00,7,power_searchers,5,19,0
18,treatment,2025-01-01 00:17:00,6,typical,0,17,0
19,treatment,2025-01-01 00:18:00,3,light_searchers,1,20,0
20,control,2025-01-01 00:19:00,9,power_searchers,3,27,0
21,treatment,2025-01-01 00:20:00,5,typical,2,25,0
22,control,2025-01-01 00:21:00,5,typical,1,25,0
23,control,2025-01-01 00:22:00,5,typical,0,18,0
24,control,2025-01-01 00:23:00,3,light_searchers,0,9,0
25,treatment,2025-01-01 00:24:00,10,power_searchers,1,21,0
26,treatment,2025-01-01 00:25:00,4,typical,0,20,0
27,treatment,2025-01-01 00:26:00,4,typical,1,21,0
28,treatment,2025-01-01 00:27:00,2,light_searchers,0,12,0
29,control,2025-01-01 00:28:00,5,typical,3,19,0
30,control,2025-01-01 00:29:00,4,typical,2,20,0
31,treatment,2025-01-01 00:30:00,4,typical,3,31,0
32,control,2025-01-01 00:31:00,7,power_searchers,3,22,0
33,control,2025-01-01 00:32:00,5,typical,4,18,0
34,treatment,2025-01-01 00:33:00,4,typical,5,23,0
35,control,2025-01-01 00:34:00,7,power_searchers,1,23,0
36,treatment,2025-01-01 00:35:00,5,typical,3,21,0
37,treatment,2025-01-01 00:36:00,3,light_searchers,1,16,0
38,control,2025-01-01 00:37:00,4,typical,5,25,0
39,treatment,2025-01-01 00:38:00,4,typical,1,13,0
40,control,2025-01-01 00:39:00,6,typical,1,24,0
41,treatment,2025-01-01 00:40:00,3,light_searchers,1,18,0
42,treatment,2025-01-01 00:41:00,6,typical,1,14,0
43,treatment,2025-01-01 00:42:00,7,power_searchers,1,17,1
44,control,2025-01-01 00:43:00,4,typical,2,11,0
45,treatment,2025-01-01 00:44:00,5,typical,2,16,0
46,treatment,2025-01-01 00:45:00,5,typical,2,25,0
47,control,2025-01-01 00:46:00,9,power_searchers,4,19,0
48,control,2025-01-01 00:47:00,3,light_searchers,3,20,1
