user_id,variant,timestamp,pre_metric,baseline_sessions,segment,outcome,support_tickets
1,treatment,2025-01-01 00:00:00,-1.5457919236694904,2,casual,1,1
2,treatment,2025-01-01 00:01:00,1.0417379590506393,2,high_intent,0,0
3,treatment,2025-01-01 00:02:00,-0.03217992110360963,2,exploring,1,0
4,control,2025-01-01 00:03:00,-0.2590282880430558,3,exploring,0,0
5,control,2025-01-01 00:04:00,1.21782977448709,1,high_intent,0,0
6,treatment,2025-01-01 00:05:00,0.027755326904372293,5,exploring,0,0
7,control,2025-01-01 00:06:00,-0.22864518985818175,5,exploring,0,0
8,treatment,2025-01-01 00:07:00,0.8897353658512924,4,high_intent,0,0
9,treatment,2025-01-01 00:08:00,-0.27077295943322727,2,exploring,0,0
10,control,2025-01-01 00:09:00,0.851763665175621,1,high_intent,0,1
11,control,2025-01-01 00:10:00,0.020637839251094754,4,exploring,0,0
12,control,2025-01-01 00:11:00,0.8076403919673147,2,high_intent,0,0
13,control,2025-01-01 00:12:00,0.6179295723525606,3,exploring,0,0
14,control,2025-01-01 00:13:00,0.7739860218173878,0,exploring,1,0
15,treatment,2025-01-01 00:14:00,-0.9432084644207229,6,casual,0,0
16,treatment,2025-01-01 00:15:00,1.8176930940943623,4,high_intent,0,0
17,treatment,2025-01-01 00:16:00,-0.13558336829336678,1,exploring,0,0
18,treatment,2025-01-01 00:17:00,1.7035185610079002,4,high_intent,1,0
19,treatment,2025-01-01 00:18:00,-0.551593332846958,6,casual,0,0
20,treatment,2025-01-01 00:19:00,-0.2424451319360297,6,exploring,1,0
21,control,2025-01-01 00:20:00,-0.2323661359487138,4,exploring,1,0
22,control,2025-01-01 00:21:00,1.1263526110929367,3,high_intent,0,0
23,treatment,2025-01-01 00:22:00,-0.38951760962902365,4,exploring,1,0
24,control,2025-01-01 00:23:00,0.4179705111896062,2,exploring,0,0
25,control,2025-01-01 00:24:00,-1.4822210209964803,5,casual,0,0
26,treatment,2025-01-01 00:25:00,-0.4401485557056496,1,exploring,0,0
27,control,2025-01-01 00:26:00,0.2339831193965163,3,exploring,0,0
28,treatment,2025-01-01 00:27:00,-0.08442353982290961,5,exploring,0,0
29,treatment,2025-01-01 00:28:00,-1.7775318984472683,5,casual,0,0
30,treatment,2025-01-01 00:29:00,0.499362269553453,2,exploring,0,0
31,control,2025-01-01 00:30:00,-0.9073414625523932,2,casual,0,0
32,control,2025-01-01 00:31:00,1.8800045849935616,6,high_intent,0,0
33,control,2025-01-01 00:32:00,-0.1638888284785712,5,exploring,0,0
34,control,2025-01-01 00:33:00,2.1885317816114744,6,high_intent,0,0
35,treatment,2025-01-01 00:34:00,0.6572613490620853,9,exploring,0,0
36,control,2025-01-01 00:35:00,0.4617067699400842,4,exploring,0,0
37,control,2025-01-01 00:36:00,-0.4417700370140745,2,exploring,0,0
38,control,2025-01-01 00:37:00,-0.09299982922237317,3,exploring,0,0
39,treatment,2025-01-01 00:38:00,0.4547555250423672,4,exploring,0,0
40,control,2025-01-01 00:39:00,-1.8530157248690489,3,casual,0,0
41,control,2025-01-01 00:40:00,0.9764904225863916,2,high_intent,0,0
42,treatment,2025-01-01 00:41:00,-1.1067927932236248,8,casual,0,0
43,treatment,2025-01-01 00:42:00,-0.22920078278941505,3,exploring,0,0
44,treatment,2025-01-01 00:43:00,-2.6118798098025917,3,casual,0,0
45,treatment,2025-01-01 00:44:00,0.45673350815211555,6,exploring,0,0
46,treatment,2025-01-01 00:45:00,0.7378409964386986,8,exploring,1,0
47,control,2025-01-01 00:46:00,0.2919973473178939,2,exploring,0,0
48,treatment,2025-01-01 00:47:00,0.329525119477749,2,exploring,0,0
49,treatment,2025-01-01 00:48:00,-0.3391151493292634,5,exploring,0,0
50,treatment,2025-01-01 00:49:00,0.1655412078271762,5,exploring,0,0
51,control,2025-01-01 00:50:00,1.183696405034564,2,high_intent,0,0
52,treatment,2025-01-01 00:51:00,-0.3914940051199713,1,exploring,0,0
53,control,2025-01-01 00:52:00,0.5029916642396465,5,exploring,0,0
54,control,2025-01-01 00:53:00,0.7199923534450783,4,exploring,1,0
55,control,2025-01-01 00:54:00,-0.20768212646486534,3,exploring,0,0
56,control,2025-01-01 00:55:00,0.24807549797005624,1,exploring,0,0
57,treatment,2025-01-01 00:56:00,0.22951852394067943,5,exploring,0,0
58,control,2025-01-01 00:57:00,-0.4591436842461205,2,exploring,0,0
59,treatment,2025-01-01 00:58:00,2.366394767653829,3,high_intent,1,0
60,treatment,2025-01-01 00:59:00,-0.3995992573924997,5,exploring,0,0
61,treatment,2025-01-01 01:00:00,1.6707568361279497,1,high_intent,0,0
62,treatment,2025-01-01 01:01:00,1.0511621709573167,3,high_intent,0,0
63,treatment,2025-01-01 01:02:00,-1.9464669238218628,1,casual,0,0
64,control,2025-01-01 01:03:00,0.2611290552812051,3,exploring,0,0
65,control,2025-01-01 01:04:00,1.0148339668867148,0,high_intent,0,0
66,control,2025-01-01 01:05:00,0.8063301997793794,5,high_intent,0,0
67,control,2025-01-01 01:06:00,-0.855214965556126,1,casual,0,0
68,control,2025-01-01 01:07:00,0.2685156813847085,1,exploring,0,0
69,treatment,2025-01-01 01:08:00,-1.1409818191172882,3,casual,1,0
70,control,2025-01-01 01:09:00,-0.986994380022889,4,casual,1,0
71,treatment,2025-01-01 01:10:00,-0.21372618455754455,1,exploring,0,0
72,control,2025-01-01 01:11:00,0.20010940243834896,3,exploring,1,0
73,treatment,2025-01-01 01:12:00,1.5711941734675274,3,high_intent,0,0
74,treatment,2025-01-01 01:13:00,0.364011046915729,3,exploring,0,0
75,control,2025-01-01 01:14:00,1.043326144174228,3,high_intent,0,0
76,treatment,2025-01-01 01:15:00,-1.144207587083479,3,casual,0,1
77,treatment,2025-01-01 01:16:00,-1.101985009040914,2,casual,0,1
78,treatment,2025-01-01 01:17:00,-0.4529087129657749,2,exploring,0,0
79,treatment,2025-01-01 01:18:00,1.7144136854951244,4,high_intent,1,0
80,control,2025-01-01 01:19:00,-1.2794383125383564,3,casual,0,0
81,control,2025-01-01 01:20:00,-1.5161685918457481,5,casual,0,0
82,treatment,2025-01-01 01:21:00,-0.05663980083529243,4,exploring,0,0
83,treatment,2025-01-01 01:22:00,1.169667360170118,4,high_intent,0,0
84,control,2025-01-01 01:23:00,-1.563597721378109,6,casual,0,0
85,treatment,2025-01-01 01:24:00,-0.22885550682268196,5,exploring,0,0
86,treatment,2025-01-01 01:25:00,-1.2998464615497805,1,casual,0,0
87,treatment,2025-01-01 01:26:00,1.4209914304528728,5,high_intent,0,0
88,control,2025-01-01 01:27:00,0.6872195028772533,9,exploring,0,0
89,control,2025-01-01 01:28:00,0.2815298479480401,6,exploring,0,0
90,control,2025-01-01 01:29:00,-0.030682316100341396,1,exploring,0,0
91,control,2025-01-01 01:30:00,-0.21310961218519778,3,exploring,0,0
92,treatment,2025-01-01 01:31:00,0.14914322885086884,4,exploring,0,0
93,control,2025-01-01 01:32:00,-0.6137863613340634,4,casual,0,0
94,treatment,2025-01-01 01:33:00,-0.8424210603242734,8,casual,0,0
95,control,2025-01-01 01:34:00,-1.0643995931924979,1,casual,1,0
96,treatment,2025-01-01 01:35:00,0.02629018337238678,6,exploring,1,0
97,control,2025-01-01 01:36:00,-0.758515427777612,6,casual,0,0
98,control,2025-01-01 01:37:00,0.8632074464765743,4,high_intent,0,0
99,control,2025-01-01 01:38:00,-2.0279583412115167,1,casual,0,0
100,control,2025-01-01 01:39:00,0.5654648877461698,3,exploring,0,0
101,treatment,2025-01-01 01:40:00,0.5322409635970738,3,exploring,0,0
102,treatment,2025-01-01 01:41:00,1.1954261851096364,3,high_intent,0,0
103,control,2025-01-01 01:42:00,-0.23159790534007635,1,exploring,0,0
104,treatment,2025-01-01 01:43:00,-1.445924418552146,5,casual,0,0
105,treatment,2025-01-01 01:44:00,-0.8848335207567196,5,casual,0,0
106,control,2025-01-01 01:45:00,1.113345259812298,4,high_intent,0,0
107,treatment,2025-01-01 01:46:00,-0.2838421964034564,1,exploring,0,0
108,treatment,2025-01-01 01:47:00,-0.3885437876701077,4,exploring,0,0
109,control,2025-01-01 01:48:00,-0.5562027237781251,5,casual,0,0
110,treatment,2025-01-01 01:49:00,-0.05078428782270989,4,exploring,0,0
111,treatment,2025-01-01 01:50:00,-0.20950187278934512,7,exploring,0,0
112,treatment,2025-01-01 01:51:00,-1.5028256222659233,5,casual,0,0
113,control,2025-01-01 01:52:00,-0.5693395591279199,0,casual,0,0
114,treatment,2025-01-01 01:53:00,0.9911149462410527,5,high_intent,0,0
115,control,2025-01-01 01:54:00,1.4200618694689382,3,high_intent,0,0
116,treatment,2025-01-01 01:55:00,-0.10746793517742598,6,exploring,1,0
117,treatment,2025-01-01 01:56:00,-0.4912690941007295,2,exploring,0,0
118,control,2025-01-01 01:57:00,1.3307102608194972,7,high_intent,0,0
119,control,2025-01-01 01:58:00,-0.16128376544260736,4,exploring,1,0
120,treatment,2025-01-01 01:59:00,-1.1343770155588724,4,casual,0,0
121,control,2025-01-01 02:00:00,-0.11189660867011858,5,exploring,0,0
122,treatment,2025-01-01 02:01:00,0.6869141000147232,1,exploring,0,0
123,treatment,2025-01-01 02:02:00,1.5269845076869977,5,high_intent,0,0
124,treatment,2025-01-01 02:03:00,-0.4631702383647835,1,exploring,0,0
125,treatment,2025-01-01 02:04:00,0.5353548250969788,3,exploring,0,0
126,control,2025-01-01 02:05:00,-0.310956978832801,5,exploring,0,0
127,control,2025-01-01 02:06:00,1.1201350101192866,3,high_intent,1,0
128,control,2025-01-01 02:07:00,0.2613760011442976,3,exploring,0,0
129,control,2025-01-01 02:08:00,0.2651515457718129,2,exploring,0,1
130,control,2025-01-01 02:09:00,-0.9468144828615963,1,casual,0,0
131,treatment,2025-01-01 02:10:00,-0.3009235939277387,4,exploring,0,0
132,treatment,2025-01-01 02:11:00,-0.3054139876837664,3,exploring,0,0
133,control,2025-01-01 02:12:00,-3.49372180617151,4,casual,0,0
134,control,2025-01-01 02:13:00,0.8428137532186709,2,high_intent,0,0
135,treatment,2025-01-01 02:14:00,-0.0003056844066688454,4,exploring,0,0
136,control,2025-01-01 02:15:00,-0.19302159122780052,2,exploring,0,0
137,treatment,2025-01-01 02:16:00,-0.34196670924937916,4,exploring,0,0
138,treatment,2025-01-01 02:17:00,0.034253636223764414,3,exploring,0,0
139,treatment,2025-01-01 02:18:00,0.2438500944811363,2,exploring,0,0
140,treatment,2025-01-01 02:19:00,-1.2624762980763,4,casual,0,0
141,treatment,2025-01-01 02:20:00,0.13032142142775233,3,exploring,0,0
142,treatment,2025-01-01 02:21:00,0.11931804093105779,2,exploring,0,0
143,control,2025-01-01 02:22:00,0.03575712129717474,3,exploring,0,0
144,treatment,2025-01-01 02:23:00,-1.4370430131783019,4,casual,0,0
145,control,2025-01-01 02:24:00,-0.12730958248316251,4,exploring,1,0
146,treatment,2025-01-01 02:25:00,-1.2397080930254383,3,casual,0,0
147,control,2025-01-01 02:26:00,0.34783684969084455,3,exploring,1,0
148,control,2025-01-01 02:27:00,1.288794850249211,7,high_intent,0,0
149,treatment,2025-01-01 02:28:00,0.8555196149633607,1,high_intent,0,0
150,treatment,2025-01-01 02:29:00,-0.32209011293849454,5,exploring,0,0
151,control,2025-01-01 02:30:00,-0.5181255257537769,7,casual,0,0
152,treatment,2025-01-01 02:31:00,-0.5424195117754915,7,casual,0,0
153,treatment,2025-01-01 02:32:00,0.3477356861233598,3,exploring,0,0
154,treatment,2025-01-01 02:33:00,-0.6393234066803178,3,casual,1,0
155,treatment,2025-01-01 02:34:00,-0.5127150234444275,3,casual,0,0
156,treatment,2025-01-01 02:35:00,-2.4309926811341454,1,casual,1,0
157,control,2025-01-01 02:36:00,-0.8191879587169715,8,casual,0,0
158,control,2025-01-01 02:37:00,-0.7544690239541825,6,casual,0,0
159,control,2025-01-01 02:38:00,-0.5167635357754793,2,casual,0,0
160,control,2025-01-01 02:39:00,1.1884922294370754,6,high_intent,0,0
161,control,2025-01-01 02:40:00,-1.3124412583985225,3,casual,0,0
162,treatment,2025-01-01 02:41:00,-1.2858160396254623,3,casual,1,0
163,treatment,2025-01-01 02:42:00,0.5912466538087569,5,exploring,0,0
164,control,2025-01-01 02:43:00,-0.9478635787371321,3,casual,0,0
165,treatment,2025-01-01 02:44:00,-0.15247215682401466,3,exploring,0,0
166,control,2025-01-01 02:45:00,0.17577682078158216,1,exploring,1,0
167,treatment,2025-01-01 02:46:00,0.02181581366047811,3,exploring,0,0
168,treatment,2025-01-01 02:47:00,-0.7484455209877966,6,casual,0,0
169,control,2025-01-01 02:48:00,0.8997929918612696,4,high_intent,0,0
170,treatment,2025-01-01 02:49:00,1.4638195187398932,2,high_intent,0,0
171,control,2025-01-01 02:50:00,-0.9699644445043833,2,casual,0,0
172,treatment,2025-01-01 02:51:00,-0.25814659875279,4,exploring,1,0
173,treatment,2025-01-01 02:52:00,0.9202261572505006,6,high_intent,1,0
174,control,2025-01-01 02:53:00,-0.19569412721118914,1,exploring,1,0
175,control,2025-01-01 02:54:00,-0.9670160550284722,0,casual,0,0
176,control,2025-01-01 02:55:00,-0.4117381773385603,3,exploring,0,0
177,treatment,2025-01-01 02:56:00,0.8148111999544043,2,high_intent,0,0
178,treatment,2025-01-01 02:57:00,-0.9619304468965594,3,casual,0,0
179,treatment,2025-01-01 02:58:00,0.2529585029521239,3,exploring,0,0
180,control,2025-01-01 02:59:00,0.37716734566792987,4,exploring,0,0
181,treatment,2025-01-01 03:00:00,-0.6278347101379792,4,casual,0,0
182,treatment,2025-01-01 03:01:00,0.5553626535342688,9,exploring,0,0
183,treatment,2025-01-01 03:02:00,0.6540525184397702,2,exploring,0,0
